"","account_id","client_id","client_age","gender","name","region","no..of.inhabitants","no..of.municipalities.with.inhabitants...499","no..of.municipalities.with.inhabitants.500.1999","no..of.municipalities.with.inhabitants.2000.9999","no..of.municipalities.with.inhabitants..10000","no..of.cities","ratio.of.urban.inhabitants","average.salary","unemploymant.rate..95","unemploymant.rate..96","no..of.enterpreneurs.per.1000.inhabitants","no..of.commited.crimes..95","no..of.commited.crimes..96","frequency","account_age","date","amount","duration","payments","status","Avg_amount","balance"
"4023",5215,6301,67,"F","Brno - venkov","south Moravia",157042,49,70,18,0,9,33.9,8743,20,2.43,111,46,3894,"monthly issuance",23,940804,14628,12,1219,1,4093.03529411765,32788.1421568627
"4024",5228,6317,59,"F","Vsetin","north Moravia",148545,8,35,12,3,4,53.5,8909,53,5.56,113,43,3590,"issuance after transaction",23,940711,173808,24,7242,1,17396.5853333333,61218.6586666667
"4026",5256,6349,44,"M","Olomouc","north Moravia",226122,32,50,7,4,4,62.6,8994,50,4.79,110,74,9208,"issuance after transaction",23,940510,193968,36,5388,1,16951.0344827586,63579.2172413793
"4027",5263,6359,40,"M","Zlin","south Moravia",197099,29,41,10,2,10,74.7,9624,14,2.31,145,57,4265,"monthly issuance",21,961112,276300,60,4605,1,3104.77608695652,25997.5630434783
"4030",5270,6367,46,"M","Chrudim","east Bohemia",105606,77,26,7,2,7,53,8254,34,3.76,97,26,2325,"monthly issuance",23,931122,79608,24,3317,1,17600.358490566,69954.5716981132
"4034",5313,6417,66,"M","Teplice","north Bohemia",128118,9,16,6,3,8,85.3,9317,68,7.07,97,71,6872,"monthly issuance",23,940227,300660,60,5011,1,10342.5303030303,45854.8909090909
"4043",5385,6499,53,"M","Chrudim","east Bohemia",105606,77,26,7,2,7,53,8254,34,3.76,97,26,2325,"weekly issuance",23,940407,149340,60,2489,1,5778.79107142857,29069.1160714286
"4046",5422,6544,42,"M","Zdar nad Sazavou","south Moravia",125832,151,41,2,3,5,48.3,8512,46,4.12,102,28,2103,"monthly issuance",22,960603,368880,60,6148,1,11574.082967033,60030.7434065934
"4048",5428,6551,68,"F","Karlovy Vary","west Bohemia",122603,25,21,6,2,8,80,8991,11,2.01,128,62,5273,"monthly issuance",23,930924,174744,24,7281,-1,11557.95,37485.45625
"4050",5442,6567,38,"F","Kolin","central Bohemia",95616,65,30,4,1,6,51.4,9307,52,4.43,118,32,3040,"monthly issuance",23,940617,174744,24,7281,-1,7375.6279661017,26252.8144067797
"4054",5481,6616,63,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"monthly issuance",23,940911,209184,48,4358,1,14438.2117647059,46230.3397058824
"4057",5541,6691,74,"M","Hradec Kralove","east Bohemia",161854,73,21,6,1,6,76.3,9425,17,2.5,125,52,3891,"monthly issuance",21,960718,32640,48,680,1,2772.75981308411,25906.4093457944
"4060",5574,6731,73,"M","Rakovnik","central Bohemia",53921,61,22,1,1,2,41.3,8598,33,3.26,123,9,1875,"weekly issuance",22,960410,44628,12,3719,1,14238.0808219178,49477.3212328767
"4062",5593,6753,54,"M","Cesky Krumlov","south Bohemia",58796,22,16,7,1,5,51.9,9045,39,3.6,124,15,1879,"monthly issuance",20,960809,44376,12,3698,1,15332.3871794872,53505.2153846154
"4064",5622,6789,37,"M","Hodonin","south Moravia",161954,21,37,20,3,8,48,8720,48,4.5,116,47,3651,"monthly issuance",23,941102,83016,12,6918,1,13414.5566326531,67891.9352040816
"4065",5628,6798,68,"F","Trebic","south Moravia",117897,139,28,5,1,6,53.8,8814,60,5.74,107,22,2059,"monthly issuance",22,950425,225420,60,3757,1,5452.3431372549,31185.1568627451
"4066",5632,6803,36,"F","Kolin","central Bohemia",95616,65,30,4,1,6,51.4,9307,52,4.43,118,32,3040,"weekly issuance",22,950725,285600,60,4760,1,10411.7204081633,49651.8918367347
"4068",5650,6829,53,"F","Praha - vychod","central Bohemia",92084,55,29,4,3,5,46.7,10124,4,0.54,141,50,4316,"issuance after transaction",21,950710,98592,24,4108,1,10807.3807692308,54128.5653846154
"4072",5700,6895,45,"M","Havlickuv Brod","east Bohemia",95907,87,25,5,2,7,59.1,8388,26,2.94,87,11,1668,"monthly issuance",23,950316,103680,60,1728,-1,3896.38256880734,28250.1091743119
"4076",5735,6936,57,"F","Usti nad Orlici","east Bohemia",139012,59,41,8,3,10,61.9,8363,29,3.49,108,30,2799,"monthly issuance",21,960221,290700,60,4845,-1,14274.571,59647.424
"4078",5742,6946,46,"F","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,"issuance after transaction",21,951216,232560,48,4845,1,13066.7259259259,63188.6333333333
"4081",5774,6987,48,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"monthly issuance",21,951128,31176,24,1299,1,9027.31739130435,46304.152173913
"4082",5794,7010,49,"M","Karvina","north Moravia",285387,0,2,8,5,7,89.9,10177,69,7.75,81,75,10108,"monthly issuance",21,960506,123600,60,2060,1,9121.30612244898,39514.6775510204
"4088",5891,7127,59,"M","Beroun","central Bohemia",75232,55,26,4,1,5,41.7,8980,22,2.21,111,36,2813,"monthly issuance",23,940418,65184,12,5432,1,11972.6768292683,47426.55
"4090",5927,7166,52,"M","Cesky Krumlov","south Bohemia",58796,22,16,7,1,5,51.9,9045,39,3.6,124,15,1879,"monthly issuance",23,940606,87216,48,1817,-1,4041.37878787879,28362.2484848485
"4092",5952,7195,54,"M","Svitavy","east Bohemia",102609,75,33,2,3,6,52,8187,61,5.45,94,23,2134,"monthly issuance",23,940930,141240,24,5885,1,9343.38529411765,57219.5745098039
"4094",5991,7241,59,"F","Hodonin","south Moravia",161954,21,37,20,3,8,48,8720,48,4.5,116,47,3651,"monthly issuance",23,941103,61056,48,1272,1,5646.3390625,36039.0515625
"4095",6030,7286,46,"F","Pardubice","east Bohemia",162580,83,26,5,1,6,72.8,9538,13,1.81,111,68,5410,"monthly issuance",23,950304,28248,24,1177,1,8111.68085106383,45582.4489361702
"4096",6034,7291,76,"F","Vsetin","north Moravia",148545,8,35,12,3,4,53.5,8909,53,5.56,113,43,3590,"weekly issuance",23,931201,464520,60,7742,-1,13335.7985294118,51760.0161764706
"4097",6040,7299,78,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"monthly issuance",23,941002,11736,24,489,1,6032.84360902256,42224.4390977444
"4098",6051,7311,67,"M","Breclav","south Moravia",124605,11,42,14,1,8,46,8772,57,4.98,126,37,3158,"monthly issuance",23,940708,276660,36,7685,-1,3499.28620689655,19256.8948275862
"4105",6118,7390,79,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"weekly issuance",22,950108,270648,36,7518,-1,12958.5638888889,60819.9763888889
"4107",6148,7422,58,"M","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,"monthly issuance",23,941104,59760,24,2490,1,8295.15555555556,40204.4648148148
"4110",6226,7521,56,"F","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,"weekly issuance",23,941220,398640,60,6644,1,16552.9627906977,63383.5755813954
"4112",6273,7576,54,"M","Louny","north Bohemia",85852,41,23,4,2,4,59.8,8965,70,8.23,104,34,2822,"monthly issuance",23,940607,87360,24,3640,1,8145.61333333333,36783.95
"4114",6289,7594,67,"F","Zlin","south Moravia",197099,29,41,10,2,10,74.7,9624,14,2.31,145,57,4265,"monthly issuance",21,960811,85632,48,1784,1,15232.2929411765,65066.7352941177
"4117",6353,7672,63,"M","Plzen - mesto","west Bohemia",170449,0,0,0,1,1,100,10787,31,3.09,131,67,6261,"monthly issuance",23,950212,79920,60,1332,1,7707.40631578947,43846.9778947368
"4118",6358,7678,54,"M","Beroun","central Bohemia",75232,55,26,4,1,5,41.7,8980,22,2.21,111,36,2813,"monthly issuance",21,960806,270384,48,5633,1,12403.5068965517,47654.2448275862
"4119",6363,7683,70,"M","Pribram","central Bohemia",107870,84,29,6,1,6,58,8754,51,4.31,137,49,3868,"monthly issuance",23,941025,17508,12,1459,1,4842.76527777778,39290.6180555556
"4120",6397,7723,50,"F","Rychnov nad Kneznou","east Bohemia",78955,50,24,8,1,9,59,9060,18,2.44,124,10,1717,"monthly issuance",21,960916,181020,60,3017,1,7273.75913978495,34005.9064516129
"4121",6400,7727,58,"F","Tachov","west Bohemia",51313,34,12,3,1,4,59.2,8930,47,4.2,108,5,1452,"issuance after transaction",21,960212,72408,24,3017,-1,13997.2230769231,45099.2615384615
"4122",6425,7753,38,"F","Karvina","north Moravia",285387,0,2,8,5,7,89.9,10177,69,7.75,81,75,10108,"monthly issuance",23,941220,36684,12,3057,1,4768.6432,30229.7976
"4123",6434,7765,58,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"monthly issuance",21,961111,110136,24,4589,1,11660.5365079365,50815.8047619048
"4128",6472,7814,40,"F","Trebic","south Moravia",117897,139,28,5,1,6,53.8,8814,60,5.74,107,22,2059,"monthly issuance",22,950206,43164,12,3597,1,14188.2565217391,68377.0637681159
"4129",6473,7815,70,"F","Kladno","central Bohemia",149893,63,29,6,2,6,67.4,9753,56,5.05,109,63,5892,"monthly issuance",23,940526,76908,12,6409,-1,12928.4990196078,52890.4039215686
"4135",6555,7914,50,"F","Louny","north Bohemia",85852,41,23,4,2,4,59.8,8965,70,8.23,104,34,2822,"weekly issuance",23,940331,212400,36,5900,1,11301.5661971831,51034.361971831
"4138",6609,7980,40,"M","Jindrichuv Hradec","south Bohemia",93931,74,21,10,1,8,56.9,8427,8,1.54,107,18,1913,"monthly issuance",21,951112,60156,36,1671,-1,15972.2803571429,72667.6357142857
"4143",6688,8076,66,"F","Jindrichuv Hradec","south Bohemia",93931,74,21,10,1,8,56.9,8427,8,1.54,107,18,1913,"monthly issuance",20,961023,22968,36,638,1,4184.63636363636,23324.9363636364
"4145",6701,8091,45,"M","Kolin","central Bohemia",95616,65,30,4,1,6,51.4,9307,52,4.43,118,32,3040,"weekly issuance",23,931208,95400,36,2650,1,10370.7021276596,41562.3234042553
"4147",6715,8105,53,"M","Olomouc","north Moravia",226122,32,50,7,4,4,62.6,8994,50,4.79,110,74,9208,"weekly issuance",23,950114,137880,60,2298,-1,6024.03258426966,24523.0730337079
"4148",6738,8130,40,"F","Uherske Hradiste","south Moravia",145688,22,41,13,2,5,40.7,8544,10,1.86,109,35,2906,"monthly issuance",22,951031,37908,12,3159,1,7485.49605263158,42164.0276315789
"4158",6924,8359,37,"M","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,"monthly issuance",22,951205,194880,48,4060,1,8187.94513274336,36421.4256637168
"4160",6930,8366,56,"F","Usti nad Labem","north Bohemia",118650,8,8,5,1,3,85.6,9832,41,4.48,114,69,5471,"monthly issuance",23,940526,25944,24,1081,1,10704.7513513514,56927.4540540541
"4162",6985,8432,48,"F","Louny","north Bohemia",85852,41,23,4,2,4,59.8,8965,70,8.23,104,34,2822,"monthly issuance",21,960725,96768,36,2688,1,13244.2257575758,51611.3424242424
"4171",7123,8598,59,"F","Nachod","east Bohemia",112709,48,20,7,3,10,73.5,8369,19,2.31,117,37,2618,"issuance after transaction",23,931209,47016,12,3918,1,12252.2238095238,60382.0857142857
"4172",7133,8610,68,"F","Brno - venkov","south Moravia",157042,49,70,18,0,9,33.9,8743,20,2.43,111,46,3894,"monthly issuance",23,941106,48672,36,1352,1,1577.49381443299,23050.1896907217
"4173",7136,8615,77,"F","Pribram","central Bohemia",107870,84,29,6,1,6,58,8754,51,4.31,137,49,3868,"weekly issuance",21,960919,74124,36,2059,1,9023.62540983607,54371.2991803279
"4178",7184,8670,73,"F","Kolin","central Bohemia",95616,65,30,4,1,6,51.4,9307,52,4.43,118,32,3040,"monthly issuance",21,960804,155640,24,6485,1,5793.88,45183.3495238095
"4179",7190,8677,61,"M","Semily","east Bohemia",75685,31,28,5,1,9,60.8,8208,21,2.26,155,12,2123,"monthly issuance",23,950606,63360,60,1056,1,3181.76974789916,29108.3638655462
"4185",7401,9173,71,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"monthly issuance",23,940105,80952,24,3373,1,7937.75,33312.5388888889
"4186",7418,9196,77,"F","Tabor","south Bohemia",103347,87,16,7,1,7,67,9104,13,2.07,123,29,2354,"monthly issuance",21,960429,30276,12,2523,-1,5028.04565217391,31318.872826087
"4189",7445,9226,77,"F","Zlin","south Moravia",197099,29,41,10,2,10,74.7,9624,14,2.31,145,57,4265,"monthly issuance",23,940315,55368,24,2307,1,8702.47551020408,46061.3193877551
"4191",7454,9236,60,"F","Tachov","west Bohemia",51313,34,12,3,1,4,59.2,8930,47,4.2,108,5,1452,"monthly issuance",23,940526,63312,48,1319,1,2011.23170731707,22551.7792682927
"4193",7485,9273,61,"F","Most","north Bohemia",119895,17,4,3,2,4,89.9,10446,71,9.4,90,59,4743,"monthly issuance",23,940316,91200,24,3800,1,9999.52222222222,32558.5333333333
"4196",7523,9316,58,"F","Vyskov","south Moravia",86513,38,36,5,1,5,50.5,8288,49,4.52,110,6,1460,"monthly issuance",22,950103,288468,36,8013,1,8402.38235294118,36999.5235294118
"4198",7546,9346,44,"M","Hradec Kralove","east Bohemia",161854,73,21,6,1,6,76.3,9425,17,2.5,125,52,3891,"monthly issuance",22,951102,41952,12,3496,1,5890.40761904762,41502.0257142857
"4200",7562,9366,41,"M","Olomouc","north Moravia",226122,32,50,7,4,4,62.6,8994,50,4.79,110,74,9208,"weekly issuance",21,951231,309600,48,6450,1,16045.6071428571,58185.5892857143
"4203",7606,9417,67,"M","Tabor","south Bohemia",103347,87,16,7,1,7,67,9104,13,2.07,123,29,2354,"monthly issuance",21,951212,191880,60,3198,1,12113.7551724138,53685.7862068966
"4204",7607,9418,66,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"monthly issuance",23,950327,31728,24,1322,1,5173.09145299145,31139.7478632479
"4205",7614,9427,46,"F","Uherske Hradiste","south Moravia",145688,22,41,13,2,5,40.7,8544,10,1.86,109,35,2906,"monthly issuance",21,960518,320592,48,6679,1,13875.4170454545,60781.3068181818
"4215",7753,9593,48,"F","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,"monthly issuance",23,940311,51696,24,2154,1,13901.2696078431,58226.5049019608
"4216",7765,9606,67,"M","Usti nad Orlici","east Bohemia",139012,59,41,8,3,10,61.9,8363,29,3.49,108,30,2799,"weekly issuance",22,951211,27984,12,2332,1,7289.58421052632,30639.8631578947
"4217",7769,9611,58,"M","Cheb","west Bohemia",87419,21,11,4,3,9,85.5,8624,19,2.66,102,38,3198,"monthly issuance",23,940522,196080,48,4085,1,10472.4978723404,49143.9659574468
"4219",7795,9641,71,"M","Zlin","south Moravia",197099,29,41,10,2,10,74.7,9624,14,2.31,145,57,4265,"monthly issuance",21,961029,372120,60,6202,1,15182.0965116279,64044.0459302326
"4220",7815,9663,71,"M","Prachatice","south Bohemia",51428,50,11,3,1,4,52.7,8402,39,3.98,120,76,1099,"weekly issuance",21,960101,189696,24,7904,1,11582.991011236,54137.1056179775
"4221",7819,9670,68,"M","Louny","north Bohemia",85852,41,23,4,2,4,59.8,8965,70,8.23,104,34,2822,"monthly issuance",23,950202,20832,48,434,1,2499.06821192053,21368.9099337748
"4222",7824,9675,46,"F","Prostejov","south Moravia",110643,49,41,4,1,4,51.9,8441,45,4.48,115,20,2252,"monthly issuance",22,940928,189696,24,7904,-1,4500,14900
"4224",7844,9702,65,"F","Decin","north Bohemia",133777,24,17,7,3,11,84.7,8705,64,7.61,116,58,4859,"monthly issuance",23,940625,91584,24,3816,1,15002.8193548387,50765.4161290323
"4225",7857,9715,39,"F","Jablonec n. Nisou","north Bohemia",88768,10,18,5,1,7,80.5,8867,6,1.21,130,42,3620,"monthly issuance",23,950118,68112,12,5676,1,9898.47551020408,47220.1340136054
"4226",7859,9717,64,"F","Usti nad Orlici","east Bohemia",139012,59,41,8,3,10,61.9,8363,29,3.49,108,30,2799,"monthly issuance",21,961119,72120,12,6010,1,14376.881372549,75686.0656862745
"4227",7861,9721,62,"M","Chomutov","north Bohemia",125236,28,11,1,4,5,87.7,9675,67,7.68,100,64,5190,"monthly issuance",21,951008,21852,36,607,1,9232.25,38509.05
"4231",7926,9798,66,"F","Jesenik","north Moravia",42821,4,13,5,1,3,48.4,8173,36.5,7.01,124,38.5,1358,"weekly issuance",20,960922,84120,24,3505,1,14769.1,56910.6894736842
"4234",7965,9844,71,"M","Brno - venkov","south Moravia",157042,49,70,18,0,9,33.9,8743,20,2.43,111,46,3894,"monthly issuance",23,940930,71460,12,5955,1,10433.4395348837,47991.5302325581
"4239",8027,9915,49,"M","Plzen - jih","west Bohemia",67298,71,19,10,0,7,43.8,8561,5,1.29,110,3,1127,"weekly issuance",23,940605,77640,12,6470,1,13255.7983333333,55570.305
"4241",8039,9930,44,"M","Nymburk","central Bohemia",81344,61,23,4,2,6,55.3,8899,44,3.97,149,40,2487,"monthly issuance",21,961020,93600,24,3900,1,7856.41272727273,40078.7072727273
"4242",8041,9933,75,"M","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,"monthly issuance",23,941106,140400,36,3900,1,10991.5044444444,43563.62
"4243",8051,9945,48,"F","Tachov","west Bohemia",51313,34,12,3,1,4,59.2,8930,47,4.2,108,5,1452,"weekly issuance",23,940601,208320,48,4340,1,9434.43764705882,43944.8894117647
"4244",8073,9973,71,"F","Karlovy Vary","west Bohemia",122603,25,21,6,2,8,80,8991,11,2.01,128,62,5273,"issuance after transaction",23,940217,49320,12,4110,-1,10548.3591836735,46576.2775510204
"4246",8092,9995,58,"M","Brno - mesto","south Moravia",387570,0,0,0,1,1,100,9897,14,1.96,140,17,18696,"monthly issuance",21,960220,56100,60,935,1,3856.60147058824,20158.0014705882
"4249",8127,10040,48,"F","Litomerice","north Bohemia",114006,71,26,6,2,9,62.3,9065,55,5.39,123,53,4166,"monthly issuance",22,960715,155880,24,6495,1,12237.1830985915,63263.1471830986
"4250",8129,10043,51,"M","Jicin","east Bohemia",77917,85,19,6,1,5,53.5,8390,24,2.89,132,21,2122,"monthly issuance",23,940730,74736,36,2076,1,8191.96268656716,37912.9985074627
"4255",8159,10076,47,"F","Plzen - mesto","west Bohemia",170449,0,0,0,1,1,100,10787,31,3.09,131,67,6261,"monthly issuance",21,950613,29784,24,1241,1,6943.35,27626.0833333333
"4257",8173,10095,40,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"monthly issuance",23,940520,80340,12,6695,1,15464.3980769231,61531.5903846154
"4260",8260,10198,40,"M","Tachov","west Bohemia",51313,34,12,3,1,4,59.2,8930,47,4.2,108,5,1452,"monthly issuance",23,940825,224604,36,6239,1,14537.8032258065,57496.9892473118
"4261",8261,10200,36,"F","Rakovnik","central Bohemia",53921,61,22,1,1,2,41.3,8598,33,3.26,123,9,1875,"monthly issuance",23,930913,87840,24,3660,1,9496.92941176471,46318.5529411765
"4263",8316,10269,76,"F","Karvina","north Moravia",285387,0,2,8,5,7,89.9,10177,69,7.75,81,75,10108,"monthly issuance",22,950319,134784,24,5616,1,9329.63454545455,44005.1127272727
"4265",8321,10275,46,"F","Vsetin","north Moravia",148545,8,35,12,3,4,53.5,8909,53,5.56,113,43,3590,"monthly issuance",23,940509,89040,60,1484,1,3441.20459770115,30045.4
"4266",8327,10282,37,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"weekly issuance",21,960310,247728,48,5161,1,12112.076,60054.734
"4267",8330,10287,54,"F","Rychnov nad Kneznou","east Bohemia",78955,50,24,8,1,9,59,9060,18,2.44,124,10,1717,"monthly issuance",23,940330,7656,24,319,1,6436.60987654321,46444.6395061728
"4269",8377,10350,55,"F","Rokycany","west Bohemia",45714,52,10,5,1,6,55.6,8843,36,3.6,113,72,888,"monthly issuance",23,950601,417060,60,6951,1,10583.9932432432,58445.027027027
"4271",8405,10382,51,"F","Strakonice","south Bohemia",70646,94,14,3,1,4,58.4,8547,32,3.64,120,7,1542,"monthly issuance",22,951014,266220,60,4437,1,5581.28125,34922.88125
"4272",8411,10389,73,"F","Strakonice","south Bohemia",70646,94,14,3,1,4,58.4,8547,32,3.64,120,7,1542,"monthly issuance",22,960506,220620,60,3677,1,6331.021875,36907.45625
"4273",8475,10459,52,"F","Pelhrimov","south Bohemia",74062,99,15,4,2,7,61.4,8114,25,2.62,119,2,1181,"monthly issuance",23,940121,21072,24,878,1,3164.47333333333,21575.6866666667
"4274",8489,10475,68,"F","Trutnov","east Bohemia",121947,37,28,7,3,11,70.5,8541,28,2.97,131,45,3839,"monthly issuance",23,950623,265320,36,7370,1,5332.34797297297,35566.8810810811
"4275",8492,10479,61,"F","Benesov","central Bohemia",88884,80,26,6,2,5,46.7,8507,16,1.85,132,25,2674,"monthly issuance",22,950903,85860,60,1431,1,3377.42708333333,30461.4041666667
"4277",8519,10510,71,"F","Cheb","west Bohemia",87419,21,11,4,3,9,85.5,8624,19,2.66,102,38,3198,"monthly issuance",23,940811,74688,12,6224,1,11551.4964285714,48484.6241071429
"4279",8533,10528,64,"F","Pardubice","east Bohemia",162580,83,26,5,1,6,72.8,9538,13,1.81,111,68,5410,"monthly issuance",21,960919,174048,48,3626,1,13503.1260869565,72968.3811594203
"4280",8547,10543,71,"F","Ceske Budejovice","south Bohemia",177686,69,27,10,1,9,74.8,10045,12,1.71,135,70,6295,"weekly issuance",21,960530,173016,36,4806,1,13519.8287234043,61799.2436170213
"4281",8558,10555,81,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"issuance after transaction",22,940614,288360,60,4806,1,8585.04,33211.76
"4282",8564,10563,67,"M","Frydek - Mistek","north Moravia",228848,15,40,18,2,6,57.2,9893,54,4.72,96,65,5887,"monthly issuance",23,950311,76680,24,3195,1,9877.5041958042,62933.4748251748
"4283",8566,10566,74,"F","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,"monthly issuance",23,940929,230220,36,6395,-1,7188.85243902439,27658.487804878
"4284",8625,10636,45,"M","Zlin","south Moravia",197099,29,41,10,2,10,74.7,9624,14,2.31,145,57,4265,"monthly issuance",23,950410,47304,24,1971,1,13867.8467065868,68740.0233532934
"4288",8680,10702,78,"M","Pelhrimov","south Bohemia",74062,99,15,4,2,7,61.4,8114,25,2.62,119,2,1181,"monthly issuance",20,960714,85716,36,2381,1,7206.15789473684,31337.2578947368
"4294",8776,10818,44,"M","Zlin","south Moravia",197099,29,41,10,2,10,74.7,9624,14,2.31,145,57,4265,"monthly issuance",22,950826,33984,48,708,1,4598.14428571429,38587.76
"4298",8899,10963,72,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"weekly issuance",22,951225,125340,60,2089,1,9686.67244094488,51145.5157480315
"4304",8972,11050,59,"F","Karvina","north Moravia",285387,0,2,8,5,7,89.9,10177,69,7.75,81,75,10108,"monthly issuance",20,961221,45024,48,938,1,7779.81538461538,41994.9076923077
"4305",8982,11063,61,"F","Zlin","south Moravia",197099,29,41,10,2,10,74.7,9624,14,2.31,145,57,4265,"monthly issuance",23,941012,227880,36,6330,1,8156.79397590361,45134.721686747
"4307",9006,11093,57,"M","Teplice","north Bohemia",128118,9,16,6,3,8,85.3,9317,68,7.07,97,71,6872,"weekly issuance",22,960608,186384,48,3883,1,11952.6842105263,61578.3015789474
"4308",9017,11105,59,"F","Karvina","north Moravia",285387,0,2,8,5,7,89.9,10177,69,7.75,81,75,10108,"monthly issuance",21,960326,100224,48,2088,-1,4932.61666666667,28124.9333333333
"4309",9024,11114,64,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"monthly issuance",20,961004,70656,48,1472,1,5188.33962264151,32646.8509433962
"4310",9030,11121,45,"F","Olomouc","north Moravia",226122,32,50,7,4,4,62.6,8994,50,4.79,110,74,9208,"monthly issuance",21,961212,155616,48,3242,1,4895.97441860465,44197.5098837209
"4312",9034,11126,51,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"monthly issuance",23,931216,38148,12,3179,1,8369.55517241379,37462.0931034483
"4317",9093,11195,63,"M","Jihlava","south Moravia",109164,98,16,6,1,4,63.6,8757,43,3.95,96,27,2471,"monthly issuance",23,940803,189300,60,3155,1,5114.49803921569,32354.031372549
"4318",9104,11208,59,"F","Praha - vychod","central Bohemia",92084,55,29,4,3,5,46.7,10124,4,0.54,141,50,4316,"monthly issuance",22,940807,172080,48,3585,1,11368.769047619,60743.9571428571
"4326",9188,11314,80,"M","Jicin","east Bohemia",77917,85,19,6,1,5,53.5,8390,24,2.89,132,21,2122,"monthly issuance",23,930728,127080,60,2118,1,5417.45833333333,30060.9541666667
"4328",9199,11327,69,"M","Olomouc","north Moravia",226122,32,50,7,4,4,62.6,8994,50,4.79,110,74,9208,"monthly issuance",20,960911,29448,12,2454,-1,8271.87272727273,28977.4363636364
"4335",9236,11372,55,"M","Praha - zapad","central Bohemia",75637,35,36,9,0,7,36.5,9622,3,0.59,154,44,3529,"monthly issuance",23,931221,86616,12,7218,1,5323.54666666667,25714.0466666667
"4339",9265,11409,36,"F","Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81,9272,35,3.22,118,55,4505,"monthly issuance",23,940711,39576,12,3298,1,8275.28347826087,48944.827826087
"4340",9307,11461,42,"M","Karvina","north Moravia",285387,0,2,8,5,7,89.9,10177,69,7.75,81,75,10108,"monthly issuance",23,940919,41904,12,3492,1,6720.9006993007,36080.3867132867
"4342",9337,11497,57,"F","Praha - zapad","central Bohemia",75637,35,36,9,0,7,36.5,9622,3,0.59,154,44,3529,"monthly issuance",23,940604,52128,24,2172,1,6031.72535211268,33459.6802816901
"4345",9403,11574,72,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"weekly issuance",23,940805,120888,36,3358,1,9301.08958333333,40838.7552083333
"4346",9422,11596,76,"F","Karvina","north Moravia",285387,0,2,8,5,7,89.9,10177,69,7.75,81,75,10108,"monthly issuance",20,961029,86184,12,7182,1,16523.6023809524,59935.2714285714
"4350",9472,11662,44,"M","Sumperk","north Moravia",127369,31,32,13,2,7,51.2,8369,58,5.88,107,48,2807,"weekly issuance",23,950508,36396,12,3033,1,11730.8398734177,57977.0348101266
"4353",9493,11685,51,"F","Zlin","south Moravia",197099,29,41,10,2,10,74.7,9624,14,2.31,145,57,4265,"monthly issuance",21,950909,188688,48,3931,1,10873.7727272727,42203.1727272727
"4356",9510,11709,55,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,"monthly issuance",20,961122,228276,36,6341,1,7186.86,41402.135
"4359",9548,11754,50,"M","Uherske Hradiste","south Moravia",145688,22,41,13,2,5,40.7,8544,10,1.86,109,35,2906,"monthly issuance",20,961115,46176,48,962,1,8573.59411764706,33613.1058823529
"4362",9583,11794,46,"F","Tachov","west Bohemia",51313,34,12,3,1,4,59.2,8930,47,4.2,108,5,1452,"weekly issuance",22,951212,104712,24,4363,1,12019.6601851852,52379.1287037037
"4363",9591,11804,72,"M","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,"monthly issuance",23,950411,104712,24,4363,1,11980.312565445,57357.8434554974
